		code	name	buy_date	buy_price	period	ratio	sell_date	sell_price
002598	山东章鼓			2018-08-28	15.36	77	7.23	持有	16.47
002683	宏大爆破			2017-07-24	23.96	477	7.18	持有	25.68
600897	厦门空港			2018-08-10	90.31	95	7.16	持有	96.78
002042	华孚色纺			2018-11-06	33.88	7	7.11	持有	36.29
300143	星河生物			2018-08-07	38.90	98	7.1	持有	41.66
600716	凤凰股份			2018-07-09	16.01	127	7.06	持有	17.14
600021	上海电力			2018-07-04	14.80	132	7.03	持有	15.84
600027	华电国际			2018-10-31	7.19	13	6.95	持有	7.69
600570	恒生电子			2018-08-13	726.82	92	6.89	持有	776.89
002365	永安药业			2018-10-31	36.36	13	6.88	持有	38.86
002349	精华制药			2018-08-21	45.45	84	6.84	持有	48.56
600774	汉商集团			2018-08-23	73.06	82	6.68	持有	77.94
300260	新莱应材			2018-10-24	28.92	20	6.67	持有	30.85
002749	国光股份			2018-10-29	55.16	15	6.62	持有	58.81
000922	佳电股份			2018-09-14	14.00	60	6.57	持有	14.92
600400	红豆股份			2018-06-27	44.16	139	6.5	持有	47.03
002173	*ST创疗			2018-10-25	26.33	19	6.46	持有	28.03
603636	南威软件			2018-02-26	40.46	260	6.4	持有	43.05
600794	保税科技			2018-09-18	57.98	56	6.38	持有	61.68
002356	赫美集团			2018-11-05	50.52	8	6.33	持有	53.72
600116	三峡水利			2018-06-08	46.05	158	6.25	持有	48.93
601005	重庆钢铁			2018-10-26	1.92	18	6.25	持有	2.04
002623	亚玛顿			2018-10-08	16.07	36	6.22	持有	17.07
600566	济川药业			2018-09-21	71.56	53	6.2	持有	76.00
600160	巨化股份			2018-07-06	71.20	130	6.17	持有	75.59
600209	罗顿发展			2018-08-08	11.84	97	6.17	持有	12.57
000597	东北制药			2018-10-25	24.24	19	6.15	持有	25.73
000955	欣龙控股			2018-07-03	10.48	133	6.11	持有	11.12
002311	海大集团			2018-07-12	141.44	124	6.03	持有	149.97
002068	黑猫股份			2018-10-26	36.89	18	6.02	持有	39.11
002696	百洋股份			2018-08-24	36.40	81	5.99	持有	38.58
000726	鲁 泰Ａ			2018-09-21	70.80	53	5.73	持有	74.86
002674	兴业科技			2018-07-16	8.02	120	5.61	持有	8.47
600299	安迪苏			2018-07-04	34.44	132	5.52	持有	36.34
002437	誉衡药业			2018-09-26	52.45	48	5.45	持有	55.31
002421	达实智能			2018-08-27	66.09	78	5.4	持有	69.66
002485	希努尔			2017-05-08	35.86	554	5.38	持有	37.79
600270	外运发展			2018-09-21	117.74	53	5.34	持有	124.03
600579	天华院			2018-10-22	15.95	22	5.33	持有	16.80
603788	宁波高发			2018-11-02	23.35	11	5.31	持有	24.59
300278	华昌达			2018-08-28	28.26	77	5.17	持有	29.72
002399	海普瑞			2018-08-13	66.47	92	5.13	持有	69.88
002032	苏 泊 尔			2018-09-18	390.08	56	5.1	持有	409.97
002395	双象股份			2018-10-26	22.07	18	5.03	持有	23.18
600132	重庆啤酒			2018-08-27	138.44	78	4.96	持有	145.30
300379	东方通			2017-11-27	58.82	351	4.88	持有	61.69
600090	啤酒花			2018-09-13	26.62	61	4.81	持有	27.90
002109	*ST兴化			2018-11-01	13.72	12	4.81	持有	14.38
000908	景峰医药			2018-08-09	11.66	96	4.63	持有	12.20
300399	京天利			2018-08-10	23.81	95	4.58	持有	24.90
300252	金信诺			2018-08-13	43.13	92	4.5	持有	45.07
600886	国投电力			2018-01-02	337.32	315	4.41	持有	352.19
002511	中顺洁柔			2018-09-19	62.75	55	4.35	持有	65.48
002127	南极电商			2018-08-20	78.44	85	4.33	持有	81.84
