		code	name	buy_date	buy_price	period	ratio	sell_date	sell_price
603111	康尼机电			2016-09-07	33.70	51	18.61	持有	39.97
002429	兆驰股份			2016-06-03	30.68	147	18.42	持有	36.33
002735	王子新材			2016-03-11	34.90	21	18.4	持有	41.32
000828	东莞控股			2016-05-24	29.88	157	18.24	持有	35.33
600446	金证股份			2016-03-08	414.78	234	18.16	持有	490.10
002323	雅百特			2016-06-21	49.70	129	17.97	持有	58.63
603998	方盛制药			2016-06-01	55.37	149	17.93	持有	65.30
600373	中文传媒			2016-01-27	77.12	275	17.87	持有	90.90
600276	恒瑞医药			2016-05-18	892.41	163	17.86	持有	1051.80
300345	红宇新材			2016-03-03	43.42	239	17.83	持有	51.16
600481	双良节能			2016-05-30	48.66	151	17.76	持有	57.30
000720	新能泰山			2016-02-05	46.57	266	17.74	持有	54.83
000673	当代东方			2016-08-31	129.88	58	17.73	持有	152.91
002134	天津普林			2016-09-19	16.59	39	17.72	持有	19.53
000687	华讯方舟			2016-03-15	54.48	227	17.68	持有	64.11
300305	裕兴股份			2016-03-17	42.33	225	17.6	持有	49.78
600720	祁连山			2016-05-27	65.44	154	17.19	持有	76.69
600527	江南高纤			2016-01-21	68.03	281	17.14	持有	79.69
002115	三维通信			2016-05-30	46.67	137	16.93	持有	54.57
600116	三峡水利			2016-08-15	46.64	74	16.81	持有	54.48
600270	外运发展			2016-05-25	90.67	156	16.81	持有	105.91
601313	江南嘉捷			2016-03-02	22.06	240	16.64	持有	25.73
600480	凌云股份			2016-05-31	24.42	51	16.5	持有	28.45
000880	潍柴重机			2016-08-15	42.99	74	16.47	持有	50.07
002494	华斯股份			2016-03-18	42.46	224	16.32	持有	49.39
300268	万福生科			2016-06-29	36.71	121	16.29	持有	42.69
600232	金鹰股份			2016-10-10	29.46	18	16.29	持有	34.26
000753	漳州发展			2016-06-28	47.81	122	16.25	持有	55.58
002163	中航三鑫			2016-06-28	32.32	122	16.15	持有	37.54
300101	振芯科技			2016-02-03	168.52	268	16.0	持有	195.49
600308	华泰股份			2016-06-01	28.03	149	15.98	持有	32.51
000088	盐 田 港			2016-03-02	45.59	240	15.86	持有	52.82
002297	博云新材			2016-05-20	34.04	28	15.86	持有	39.44
000090	天健集团			2016-06-29	36.44	121	15.7	持有	42.16
300075	数字政通			2016-03-14	132.13	228	15.64	持有	152.80
002574	明牌珠宝			2016-03-02	25.64	114	15.64	持有	29.65
600228	昌九生化			2016-07-19	25.70	101	15.64	持有	29.72
000976	春晖股份			2016-03-18	30.10	224	15.51	持有	34.77
600738	兰州民百			2016-03-14	45.17	228	15.47	持有	52.16
601311	骆驼股份			2016-05-20	34.11	161	15.45	持有	39.38
000400	许继电气			2016-09-30	113.14	28	15.43	持有	130.60
300172	中电环保			2016-05-31	47.60	150	15.42	持有	54.94
600238	海南椰岛			2016-03-15	49.52	227	15.31	持有	57.10
300334	津膜科技			2016-03-08	35.44	72	15.18	持有	40.82
002423	*ST中特			2016-08-05	10.11	84	15.13	持有	11.64
000899	赣能股份			2016-05-23	28.09	158	15.13	持有	32.34
600327	大东方			2016-05-30	63.11	151	15.07	持有	72.62
002393	力生制药			2016-02-01	39.40	270	15.0	持有	45.31
300008	天海防务			2016-05-23	102.03	158	14.85	持有	117.18
002558	世纪游轮			2016-03-22	146.56	112	14.79	持有	168.24
600803	新奥股份			2016-03-03	62.91	239	14.67	持有	72.14
300388	国祯环保			2016-03-17	66.64	225	14.63	持有	76.39
600095	哈高科			2016-06-29	31.52	121	14.63	持有	36.13
002745	木林森			2016-05-31	32.14	45	14.56	持有	36.82
002665	首航节能			2016-06-02	110.51	148	14.54	持有	126.58
000560	昆百大Ａ			2016-06-28	35.64	65	14.45	持有	40.79
300155	安居宝			2016-02-01	95.25	270	14.3	持有	108.87
600857	宁波中百			2016-08-09	79.98	80	14.27	持有	91.39
000576	广东甘化			2016-05-27	83.84	82	14.15	持有	95.70
002433	太安堂			2016-03-03	39.19	239	14.14	持有	44.73
000547	航天发展			2016-03-15	152.47	34	14.08	持有	173.94
300412	迦南科技			2016-06-01	69.84	149	14.03	持有	79.64
600573	惠泉啤酒			2016-06-27	16.64	123	13.88	持有	18.95
300332	天壕环境			2016-02-02	17.39	269	13.86	持有	19.80
002384	东山精密			2016-09-05	84.43	53	13.66	持有	95.96
300097	智云股份			2016-09-02	96.78	56	13.6	持有	109.94
002175	东方网络			2016-02-03	100.81	93	13.6	持有	114.52
002190	成飞集成			2016-03-15	82.17	227	13.51	持有	93.27
600240	华业资本			2016-05-31	74.48	150	13.45	持有	84.50
600628	新世界			2016-03-15	547.23	227	13.35	持有	620.28
300093	金刚玻璃			2016-09-22	37.94	36	13.26	持有	42.97
600410	华胜天成			2016-08-17	134.81	72	13.19	持有	152.59
000916	华北高速			2016-05-27	8.77	27	13.11	持有	9.92
600242	中昌海运			2016-08-29	16.32	42	13.11	持有	18.46
600123	兰花科创			2016-06-17	49.47	133	13.0	持有	55.90
000596	古井贡酒			2016-09-09	139.35	49	12.98	持有	157.44
300095	华伍股份			2016-10-11	49.31	17	12.96	持有	55.70
002712	思美传媒			2016-03-17	90.65	225	12.95	持有	102.39
600826	兰生股份			2016-06-23	144.03	127	12.76	持有	162.41
300421	力星股份			2016-06-20	30.12	130	12.72	持有	33.95
002401	中海科技			2016-03-14	85.73	228	12.71	持有	96.63
600780	通宝能源			2016-06-17	54.56	133	12.37	持有	61.31
600175	美都能源			2016-06-30	79.09	120	12.33	持有	88.84
000428	华天酒店			2016-05-31	83.76	150	12.29	持有	94.05
300366	创意信息			2016-08-10	99.61	79	12.28	持有	111.84
002073	软控股份			2016-03-08	103.69	234	12.26	持有	116.40
000038	深大通			2016-09-22	90.63	36	11.98	持有	101.49
600255	鑫科材料			2016-02-02	52.89	185	11.91	持有	59.19
600970	中材国际			2016-02-03	73.97	268	11.88	持有	82.76
601608	中信重工			2016-02-04	7.53	267	11.82	持有	8.42
600383	金地集团			2016-06-06	142.02	144	11.67	持有	158.59
300013	新宁物流			2016-01-29	44.21	273	11.63	持有	49.35
601908	京运通			2016-05-31	26.46	150	11.56	持有	29.52
603158	腾龙股份			2016-09-30	44.81	28	11.45	持有	49.94
600131	岷江水电			2016-10-12	57.07	16	11.41	持有	63.58
600559	老白干酒			2016-10-11	83.51	17	11.4	持有	93.03
002027	分众传媒			2016-03-17	104.08	225	11.37	持有	115.91
000519	江南红箭			2016-05-05	102.79	176	11.36	持有	114.47
002556	辉隆股份			2016-02-02	42.51	269	11.34	持有	47.33
300182	捷成股份			2016-03-09	319.85	233	11.29	持有	355.96
000040	宝安地产			2016-06-16	53.35	125	11.28	持有	59.37
300140	启源装备			2016-05-30	67.38	151	11.1	持有	74.86
600210	紫江企业			2016-05-25	34.58	156	11.02	持有	38.39
002669	康达新材			2016-09-06	47.26	52	10.92	持有	52.42
002566	益盛药业			2016-05-31	35.72	150	10.89	持有	39.61
300187	永清环保			2016-03-17	121.33	225	10.83	持有	134.47
300154	瑞凌股份			2016-01-29	41.31	273	10.82	持有	45.78
300468	四方精创			2016-09-26	57.36	32	10.76	持有	63.53
300142	沃森生物			2016-02-01	129.55	270	10.72	持有	143.44
300450	先导智能			2016-09-21	184.43	37	10.7	持有	204.16
000661	长春高新			2016-09-19	394.20	39	10.61	持有	436.04
002651	利君股份			2016-01-22	27.82	280	10.35	持有	30.70
600730	中国高科			2016-03-09	63.09	233	10.26	持有	69.56
002220	天宝股份			2016-06-03	60.37	147	10.22	持有	66.54
002268	卫 士 通			2016-03-14	165.04	228	10.15	持有	181.79
300192	科斯伍德			2016-08-15	42.19	74	9.93	持有	46.38
002010	传化股份			2016-09-05	147.11	53	9.92	持有	161.71
300379	东方通			2016-09-23	135.11	35	9.87	持有	148.44
002329	皇氏集团			2016-03-14	86.25	228	9.86	持有	94.75
600433	冠豪高新			2016-02-02	48.23	269	9.79	持有	52.95
600249	两面针			2016-05-31	32.15	150	9.77	持有	35.29
300448	浩云科技			2016-05-24	72.67	157	9.74	持有	79.75
300063	天龙集团			2016-06-20	89.33	112	9.74	持有	98.03
002266	浙富控股			2016-09-30	63.87	28	9.69	持有	70.06
002029	七 匹 狼			2016-05-31	91.01	150	9.69	持有	99.83
600395	盘江股份			2016-06-22	34.97	128	9.69	持有	38.36
601186	中国铁建			2016-06-23	10.34	127	9.67	持有	11.34
600619	海立股份			2016-03-18	599.42	224	9.67	持有	657.40
002343	慈文传媒			2016-09-09	91.11	49	9.63	持有	99.88
000676	智度投资			2016-08-15	156.93	74	9.61	持有	172.01
603808	歌力思			2016-09-20	46.54	38	9.54	持有	50.98
603020	爱普股份			2016-03-02	40.78	240	9.49	持有	44.65
002599	盛通股份			2016-09-08	34.52	50	9.47	持有	37.79
002230	科大讯飞			2016-03-10	242.90	232	9.42	持有	265.79
600156	华升股份			2016-08-15	18.76	74	9.38	持有	20.52
002146	荣盛发展			2016-03-18	68.22	224	9.32	持有	74.58
600779	水井坊			2016-09-22	100.76	36	9.28	持有	110.11
300159	新研股份			2016-09-06	283.66	52	9.18	持有	309.70
000927	一汽夏利			2016-08-09	7.85	80	9.17	持有	8.57
002505	大康农业			2016-03-04	49.09	238	9.09	持有	53.55
002066	瑞泰科技			2016-05-24	47.75	157	8.96	持有	52.03
002648	卫星石化			2016-10-10	41.04	18	8.94	持有	44.71
601929	吉视传媒			2016-05-23	8.73	158	8.93	持有	9.51
002697	红旗连锁			2016-03-03	38.35	239	8.81	持有	41.73
600626	申达股份			2016-05-31	114.86	150	8.75	持有	124.91
300148	天舟文化			2016-03-18	78.98	224	8.65	持有	85.81
600305	恒顺醋业			2016-09-22	64.06	36	8.63	持有	69.59
600517	置信电气			2016-01-22	200.16	280	8.63	持有	217.44
600702	沱牌舍得			2016-10-10	73.53	18	8.61	持有	79.86
002359	齐星铁塔			2016-08-15	76.34	74	8.58	持有	82.89
002537	海立美达			2016-10-12	82.11	16	8.57	持有	89.15
