code,name_x,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date,name_y,changepercent,trade,open,high,low,settlement,volume,turnoverratio,pe,pb
600723,首商股份,0.36,13.12,,7.52,,23670.34,13.14,,10-31,首商股份,3.014,11.28,10.89,11.32,10.86,10.95,15358601,2.33389,31.3333333333,2.35626666667
000685,中山公用,0.85,32.81,,13.92,,118669.82,136.43,,10-31,中山公用,2.12,14.45,14.05,14.53,13.97,14.15,27251633,2.73213,17.0,2.3664
002187,广百股份,0.49,2.08,,6.89,,16625.58,1.08,,10-24,广百股份,1.507,16.84,16.55,16.87,16.5,16.59,6909275,2.05802,34.3673469388,2.36791020408
002547,春兴精工,0.36,33.33,,6.94,,12182.13,59.14,,10-28,春兴精工,0.162,12.34,12.3,12.56,12.23,12.32,25762894,3.76411,34.2777777778,2.37887777778
600029,南方航空,0.47,261.54,,12.33,,465600.0,270.7,,10-31,南方航空,4.571,9.15,8.85,9.3,8.6,8.75,308686584,4.39559,19.4680851064,2.40041489362
000550,江铃汽车,1.78,0.56,,13.78,,154039.85,0.62,,10-27,江铃汽车,2.989,31.01,29.97,31.27,29.97,30.11,3434619,0.66371,17.4213483146,2.40066179775
600467,好当家,0.05,56.67,,1.19,,3462.83,56.91,,10-28,好当家,9.179,10.11,9.45,10.19,9.45,9.26,71713646,9.8171,202.2,2.40618
000039,中集集团,0.64,5.82,,7.26,,172459.8,6.35,,10-28,中集集团,3.505,21.26,20.6,21.42,20.5,20.54,35412076,2.81019,33.21875,2.41168125
601688,华泰证券,1.38,193.62,,16.01,,863935.22,226.66,,10-31,华泰证券,1.841,21.02,20.5,21.43,20.48,20.64,63554705,1.16749,15.231884058,2.43862463768
002302,西部建设,0.44,33.33,,6.0,,22866.93,34.08,,10-23,西部建设,0.559,18.0,17.8,18.18,17.8,17.9,5154994,1.90282,40.9090909091,2.45454545455
300185,通裕重工,0.09,12.5,3.93,2.42,0.03,8538.59,12.93,,10-23,通裕重工,1.443,9.14,8.98,9.14,8.95,9.01,11294970,1.59748,101.555555556,2.45764444444
600751,天海投资,0.05,1130.0,,1.19,,14257.52,3915.02,,10-31,天海投资,-1.427,10.36,10.32,10.45,10.28,10.51,12590726,3.24386,207.2,2.46568
000667,美好集团,0.06,530.0,,2.91,,16117.67,473.2,,10-22,美好集团,1.188,5.11,5.04,5.15,5.02,5.05,78187055,3.05467,85.1666666667,2.47835
600060,海信电器,0.71,0.85,,8.33,,92804.61,0.96,,10-24,海信电器,4.32,21.49,20.3,21.99,20.18,20.6,39696140,3.03376,30.2676056338,2.5212915493
601901,方正证券,0.48,108.7,4.17,12.11,-0.82,392710.25,164.94,,10-31,方正证券,1.411,10.06,9.83,10.2,9.81,9.92,138190754,2.19704,20.9583333333,2.53805416667
600418,江淮汽车,0.47,42.42,,8.03,,64914.94,54.72,,10-30,江淮汽车,0.337,14.89,14.73,14.96,14.68,14.84,22196583,2.67552,31.6808510638,2.54397234043
601618,中国中冶,0.16,23.08,,6.35,,315143.2,26.46,,10-29,中国中冶,-0.311,6.42,6.39,6.48,6.32,6.44,142423256,0.87704,40.125,2.5479375
000665,湖北广电,0.43,26.47,,5.35,,27471.56,110.03,,10-30,湖北广电,0.146,20.55,20.35,20.75,20.35,20.52,7683540,3.63554,47.7906976744,2.55680232558
000776,广发证券,1.51,196.08,,18.02,,1038601.72,241.58,,10-31,广发证券,3.011,21.55,20.79,21.98,20.72,20.92,109059415,1.84244,14.2715231788,2.57172847682
600321,国栋建设,0.03,287.14,1.84,1.44,,4096.77,367.07,,10-20,国栋建设,1.132,5.36,5.35,5.41,5.25,5.3,59114124,5.00594,178.666666667,2.5728
002083,孚日股份,0.24,39.53,,7.61,,21536.39,37.55,,10-27,孚日股份,1.121,8.12,7.98,8.13,7.94,8.03,26508332,3.13809,33.8333333333,2.57471666667
601789,宁波建工,0.3,5.08,,6.46,,14424.77,5.07,,10-27,宁波建工,1.356,11.96,11.69,12.05,11.58,11.8,13218529,2.70849,39.8666666667,2.57538666667
002430,杭氧股份,0.12,20.0,,2.8,,10020.18,21.34,,10-28,杭氧股份,-1.674,11.16,11.28,11.3,11.03,11.35,17136855,2.1174,93.0,2.604
000728,国元证券,1.14,137.5,,12.2,,223684.2,137.27,,10-28,国元证券,0.411,24.46,24.1,24.9,24.05,24.36,45791130,2.33141,21.4561403509,2.61764912281
000404,华意压缩,0.32,12.93,,8.52,,18176.2,12.91,,10-17,华意压缩,0.923,9.84,9.7,9.9,9.67,9.75,16897479,3.41555,30.75,2.6199
600900,长江电力,0.58,0.45,,10.74,,949322.71,0.46,,10-31,长江电力,2.166,14.15,13.78,14.28,13.77,13.85,54710301,0.56136,24.3965517241,2.62018965517
002490,山东墨龙,0.02,100.0,,0.47,,1271.83,26.24,,10-31,山东墨龙,10.01,11.21,10.15,11.21,10.13,10.19,35306394,11.77148,560.5,2.63435
600861,北京城乡,0.24,19.08,,3.34,,7592.72,19.05,,10-31,北京城乡,2.086,19.09,18.7,19.1,18.5,18.7,6824747,2.15424,79.5416666667,2.65669166667
600812,华北制药,0.02,26.67,,0.6,,3164.54,40.59,,10-23,华北制药,5.083,8.89,8.4,9.2,8.37,8.46,52993273,3.84405,444.5,2.667
002533,金杯电工,0.19,19.5,,5.29,,10519.17,19.87,,10-23,金杯电工,1.053,9.6,9.48,9.66,9.36,9.5,14113447,2.81935,50.5263157895,2.67284210526
600310,桂东电力,0.49,157.54,,13.19,,40308.84,672.57,,10-30,桂东电力,1.114,9.98,9.8,10.05,9.76,9.87,15256496,1.84307,20.3673469388,2.68645306122
002403,爱仕达,0.24,9.09,,4.43,,7402.13,37.35,,10-31,爱仕达,3.772,14.58,14.03,14.59,13.9,14.05,8826467,3.05311,60.75,2.691225
