code,name_x,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date,name_y,changepercent,trade,open,high,low,settlement,volume,turnoverratio,amount,per,pb,mktcap,nmc,pe,peg
600053,九鼎投资,0.38,502.74,,13.16,,16594.96,502.69,,08-10,九鼎投资,-0.437,25.07,25.26,25.73,24.9,25.18,2356839,0.54363,59815204,33.561,8.68213684211,1086886.7856,1086886.7856,65.9736842105,0.131228237679
300552,万集科技,0.44,450.0,5.38,8.46,-2.28,3496.46,472.66,,09-26,万集科技,-3.183,26.16,26.83,27.55,26.08,27.02,1450223,3.64726,39028853,74.743,5.02985454545,283302.336,104017.49664,59.4545454545,0.132121212121
002643,万润股份,0.55,150.0,,6.99,,18527.21,164.49,,08-19,万润股份,-4.815,11.07,11.78,11.78,11.02,11.63,20694122,2.36159,232863467,26.357,1.40689636364,1006410.469,970042.538961,20.1272727273,0.134181818182
300420,五洋停车,0.35,157.93,11.18,3.86,-0.16,3209.54,223.09,,08-03,五洋停车,0.788,7.67,8.03,8.3,7.61,7.61,11874770,4.74725,94028114,47.938,0.845891428571,392063.275045,191857.209726,21.9142857143,0.138759486572
300265,通光线缆,0.21,250.0,2.75,7.76,-0.29,6931.44,224.56,,08-10,通光线缆,-1.935,7.6,7.87,7.88,7.6,7.75,2347181,0.69699,18208068,20.541,2.80838095238,256500.0,255937.353,36.1904761905,0.144761904762
000913,钱江摩托,0.11,1000.0,,2.45,,5043.78,645.96,,08-30,钱江摩托,0.755,16.02,15.84,16.16,15.84,15.9,1511687,0.33331,24282647,22.25,3.56809090909,726564.672,726564.672,145.636363636,0.145636363636
600654,*ST中安,0.19,111.11,,8.31,,24904.27,128.09,,08-31,*ST中安,1.634,3.11,3.08,3.12,3.07,3.06,9324040,1.2349,28910442,14.81,1.36021578947,399019.528512,234818.420894,16.3684210526,0.147317262646
002172,澳洋科技,0.14,250.0,,9.26,,9429.91,294.08,,08-25,澳洋科技,-0.573,5.21,5.23,5.32,5.2,5.24,2525790,0.45184,13275073,13.711,3.44604285714,383114.464702,291236.569535,37.2142857143,0.148857142857
002172,澳洋科技,0.14,250.0,,9.26,,9429.91,294.08,,08-25,澳洋科技,-0.573,5.21,5.23,5.32,5.2,5.24,2525790,0.45184,13275073,13.711,3.44604285714,383114.464702,291236.569535,37.2142857143,0.148857142857
002006,精功科技,0.07,600.0,,3.37,,2970.82,525.96,,08-13,精功科技,0.31,6.48,6.44,6.6,6.44,6.46,2325120,0.51084,15160571,46.286,3.11965714286,294943.68,294943.68,92.5714285714,0.154285714286
300097,智云股份,0.34,437.36,8.72,4.09,-0.83,5092.03,559.53,10派0.25,08-20,智云股份,-4.447,22.99,24.24,24.24,22.88,24.06,5695157,3.68742,132850806,36.492,2.76556176471,663375.689031,355076.508358,67.6176470588,0.154604095159
300097,智云股份,0.34,437.36,8.72,4.09,-0.83,5092.03,559.53,10派0.25,08-20,智云股份,-4.447,22.99,24.24,24.24,22.88,24.06,5695157,3.68742,132850806,36.492,2.76556176471,663375.689031,355076.508358,67.6176470588,0.154604095159
002298,中电鑫龙,0.12,426.03,,2.41,,7288.65,701.82,,07-28,中电鑫龙,-2.017,8.26,8.47,8.54,8.25,8.43,4039988,0.86372,33945935,34.503,1.65888333333,581471.50516,386355.488372,68.8333333333,0.161569216565
002298,中电鑫龙,0.12,426.03,,2.41,,7288.65,701.82,,07-28,中电鑫龙,-2.017,8.26,8.47,8.54,8.25,8.43,4039988,0.86372,33945935,34.503,1.65888333333,581471.50516,386355.488372,68.8333333333,0.161569216565
300037,新宙邦,0.68,183.33,11.12,6.11,0.46,12450.91,203.31,,08-02,新宙邦,-2.441,21.18,21.72,21.98,21.07,21.71,3623833,1.58572,77731787,28.24,1.90308529412,803824.139424,484025.125176,31.1470588235,0.169896137149
002502,骅威文化,0.21,200.0,,2.83,,8875.77,263.72,10转10,08-20,骅威文化,-0.139,7.19,7.23,7.32,7.19,7.2,4001454,0.68557,28990477,20.543,0.968938095238,618216.960406,419659.575544,34.2380952381,0.17119047619
002196,方正电机,0.19,266.09,,2.21,,4905.62,433.87,,08-18,方正电机,-0.453,8.79,8.83,8.94,8.78,8.83,2395192,0.82945,21258170,19.109,1.02241578947,396340.769496,253826.803026,46.2631578947,0.173862820454
600503,华丽家族,0.05,631.08,,2.36,,8664.65,626.27,,08-27,华丽家族,-1.25,5.53,5.64,5.64,5.52,5.6,14213600,0.88708,79463889,68.781,2.61016,886066.37,886066.37,110.6,0.17525511821
600503,华丽家族,0.05,631.08,,2.36,,8664.65,626.27,,08-27,华丽家族,-1.25,5.53,5.64,5.64,5.52,5.6,14213600,0.88708,79463889,68.781,2.61016,886066.37,886066.37,110.6,0.17525511821
002053,云南能投,0.33,178.24,,4.71,,9244.29,317.42,10转10,08-20,云南能投,-0.097,10.34,10.34,10.45,10.3,10.35,976652,0.26275,10116170,35.606,1.4758,577312.533424,384340.081004,31.3333333333,0.17579293836
002594,比亚迪,0.87,357.89,,7.14,,225969.6,384.23,10派3.67,08-29,比亚迪,1.013,54.82,54.55,55.35,54.35,54.27,8153662,0.71628,447590120,39.157,4.49902068966,14955679.1311,6240341.28124,63.0114942529,0.176063858316
600891,秋林集团,0.23,155.56,,5.06,,14263.99,374.87,,08-20,秋林集团,1.413,6.46,6.27,6.59,6.26,6.37,7014437,1.82641,45084078,19.576,1.4212,398960.428738,248099.562946,28.0869565217,0.18055384753
600891,秋林集团,0.23,155.56,,5.06,,14263.99,374.87,,08-20,秋林集团,1.413,6.46,6.27,6.59,6.26,6.37,7014437,1.82641,45084078,19.576,1.4212,398960.428738,248099.562946,28.0869565217,0.18055384753
002079,苏州固锝,0.07,610.0,,3.83,,5162.5,625.65,,08-19,苏州固锝,-4.745,7.83,8.15,8.19,7.81,8.22,27049038,3.72614,216673037,54.451,4.28412857143,570001.674321,568400.985072,111.857142857,0.18337236534
002079,苏州固锝,0.07,610.0,,3.83,,5162.5,625.65,,08-19,苏州固锝,-4.745,7.83,8.15,8.19,7.81,8.22,27049038,3.72614,216673037,54.451,4.28412857143,570001.674321,568400.985072,111.857142857,0.18337236534
600269,赣粤高速,0.32,77.78,,5.58,,73900.78,73.48,,08-09,赣粤高速,-0.422,4.72,4.75,4.76,4.71,4.74,6888870,0.29498,32635195,11.238,0.82305,1102312.11061,1102312.11061,14.75,0.18963743893
600269,赣粤高速,0.32,77.78,,5.58,,73900.78,73.48,,08-09,赣粤高速,-0.422,4.72,4.75,4.76,4.71,4.74,6888870,0.29498,32635195,11.238,0.82305,1102312.11061,1102312.11061,14.75,0.18963743893
300221,银禧科技,0.25,315.0,2.1,12.51,0.03,10014.8,289.42,,08-19,银禧科技,-1.645,14.95,15.21,15.32,14.88,15.2,4626200,1.14765,69867389,39.342,7.48098,756004.26265,602635.993505,59.8,0.189841269841
002466,天齐锂业,0.76,378.98,,21.52,,74679.99,1722.5,,08-23,天齐锂业,-2.107,54.82,56.1,56.94,54.68,56.0,14488524,1.2773,804785725,28.258,15.5227157895,6260733.72918,6218291.52602,72.1315789474,0.190330832623
002466,天齐锂业,0.76,378.98,,21.52,,74679.99,1722.5,,08-23,天齐锂业,-2.107,54.82,56.1,56.94,54.68,56.0,14488524,1.2773,804785725,28.258,15.5227157895,6260733.72918,6218291.52602,72.1315789474,0.190330832623
600981,汇鸿集团,0.16,176.82,,4.59,,35244.94,1080.68,,08-31,汇鸿集团,-1.627,5.44,5.55,5.58,5.43,5.53,5202700,2.15117,28711177,18.133,1.5606,1219883.65645,131568.918176,34.0,0.192285940504
001896,豫能控股,0.38,64.08,,7.94,,32193.18,64.11,,08-20,豫能控股,-1.016,4.87,4.91,4.96,4.87,4.92,2019100,0.23608,9940732,9.059,1.01757368421,560336.281489,416515.747812,12.8157894737,0.199996714633
001896,豫能控股,0.38,64.08,,7.94,,32193.18,64.11,,08-20,豫能控股,-1.016,4.87,4.91,4.96,4.87,4.92,2019100,0.23608,9940732,9.059,1.01757368421,560336.281489,416515.747812,12.8157894737,0.199996714633
000993,闽东电力,0.22,169.25,,5.21,,8034.61,186.62,,08-31,闽东电力,-3.778,7.64,7.97,7.99,7.61,7.94,11279887,3.0241,87863546,127.333,1.80929090909,349874.91162,284972.0,34.7272727273,0.205183295287
000993,闽东电力,0.22,169.25,,5.21,,8034.61,186.62,,08-31,闽东电力,-3.778,7.64,7.97,7.99,7.61,7.94,11279887,3.0241,87863546,127.333,1.80929090909,349874.91162,284972.0,34.7272727273,0.205183295287
000040,东旭蓝天,0.17,325.0,,5.86,,8048.99,290.61,,08-27,东旭蓝天,-0.086,11.65,11.66,11.71,11.52,11.66,3557894,0.351,41331096,61.316,4.01582352941,1557806.86188,1180904.33884,68.5294117647,0.210859728507
300603,立昂技术,0.2,900.0,,6.39,-0.07,1532.0,726.28,,01-09,立昂技术,-0.385,38.84,38.32,40.28,37.18,38.99,7656609,15.85865,295865948,84.435,12.40938,398110.0,187520.84056,194.2,0.215777777778
600073,上海梅林,0.22,154.12,,6.62,,20295.34,155.33,,08-18,上海梅林,0.136,7.34,7.35,7.42,7.27,7.33,7368062,0.78573,53902690,24.467,2.20867272727,688293.432448,688293.432448,33.3636363636,0.216478304981
600073,上海梅林,0.22,154.12,,6.62,,20295.34,155.33,,08-18,上海梅林,0.136,7.34,7.35,7.42,7.27,7.33,7368062,0.78573,53902690,24.467,2.20867272727,688293.432448,688293.432448,33.3636363636,0.216478304981
600856,中天能源,0.4,131.23,,11.85,,23455.51,211.45,,08-29,中天能源,0.0,11.39,0.0,0.0,0.0,11.39,0,0.0,0,26.488,3.3742875,1556619.33768,1292003.17985,28.475,0.216985445401
600986,科达股份,0.17,295.35,,3.89,,15186.19,951.36,,08-30,科达股份,-4.279,10.96,11.47,11.55,10.9,11.45,8094691,1.64026,90506729,21.92,2.50790588235,1047157.78257,540878.133912,64.4705882353,0.21828538424
